County Name,Climate Biome(s),CDPH Climate Impact Regions,High Heat Threshold Temperature (F),2020-2029 (2025) Average Days,2030-2039 (2035) Average Days,2040-2049 (2045) Average Days,2050-2059 (2055) Average Days,2020-2029 Average Days (Upper Range),2030-2039 Average Days (Upper Range),2040-2049 Average Days (Upper Range),2050-2059 Average Days (Upper Range),2020-2029 Average Days Above 87 (Upper Range),2030-2039 Average Days Above 87 (Upper Range),2040-2049 Average Days Above 87 (Upper Range),2050-2059 Average Days Above 87 (Upper Range)
San Mateo,"Coastal, Urban, Forest edges",Bay Area,85.7,8,11,11,13,15,22,21,24,12,19,15,17
Santa Barbara,"Coastal, Mountain, Ag. Lands",Central Coast,87.5,13,16,15,21,23,30,45,44,26,34,47,47
Santa Clara,"Urban, Grassland, Ag. Lands, Mountain edges",Bay Area,92.7,11,15,15,20,21,28,31,32,41,62,75,65
Santa Cruz,"Coastal, Forest",Central Coast,90,8,11,10,12,15,25,20,20,21,35,33,31
Shasta,"Forest, Mountain",North,97.4,20,25,24,28,26,42,43,41,95,105,126,114
Sierra,"Mountain, Forest",North Sierra,88.9,20,25,25,28,26,38,46,40,37,55,62,48
Siskiyou,"Mountain, Forest, Grassland",North,91.4,21,27,27,33,29,40,49,47,56,66,91,75
Solano,"Ag. Lands, Urban, Coastal edges",Bay Area,100.2,19,25,24,32,23,36,39,38,115,129,151,137
Sonoma,"Coastal, Ag. Lands (vineyards), Grassland",Bay Area,93.9,11,14,15,17,19,30,24,28,48,83,81,82
Stanislaus,"Ag. Lands, Grassland",Northern Central Valley,101.2,16,21,25,27,25,31,42,43,128,133,153,145
Sutter,"Ag. Lands, Grassland",Northern Central Valley,104.2,22,26,28,29,29,41,49,40,147,156,165,159
Tehama,"Grassland, Forest",Northern Central Valley,99.2,18,23,23,26,25,38,41,39,104,113,143,122
Trinity,"Mountain, Forest",North,93.9,16,21,20,26,20,42,33,36,61,79,96,78
Tulare,"Ag. Lands, Mountain, Grassland",Southern Central Valley,92.9,28,33,36,43,41,55,60,60,90,94,110,96
Tuolumne,"Mountain, Forest",North Sierra,88.6,19,23,27,28,31,37,48,41,35,51,55,52
Ventura,"Coastal, Ag. Lands, Mountain",South Coast,88.8,19,25,28,35,35,38,62,58,55,48,80,74
Yolo,"Ag. Lands, Grassland",Northern Central Valley,103.2,20,24,26,29,26,37,42,42,137,146,164,149
Yuba,"Forest, Grassland",Northern Central Valley,101.2,23,28,29,30,30,42,49,43,128,137,159,143
,,,,,,,,16,47,50,53,,,,
